id,dominio,zona,full_dominio,registered,data_readed,data_updated,expire,registrante_id,registrante_created,registrante_changed,first_dns
1280961,fincaelbacchante,com.ar,fincaelbacchante.com.ar,2022-07-13 13:00:23.680553-03,2025-11-20 22:06:40.232994-03,2025-11-20 22:06:40.267108-03,2026-07-13 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns1.donweb.com
1155886,fantochenews,com.ar,fantochenews.com.ar,2021-03-17 08:19:02.328544-03,2025-11-02 16:40:51.893425-03,2025-11-02 16:40:51.930288-03,2026-03-17 00:00:00-03,63508,2013-11-07 00:00:00-03,2025-10-22 12:02:22.221565-03,ns1.technologyresources.com.ar
635148,rosettastone,com.ar,rosettastone.com.ar,2014-01-20 00:00:00-03,2025-11-20 08:04:52.624654-03,2025-11-20 08:04:52.662322-03,2026-02-19 00:00:00-03,4402,2013-09-12 00:00:00-03,2025-11-21 22:16:13.260101-03,dns4.p05.nsone.net
41,tequierocontar,com.ar,tequierocontar.com.ar,2024-12-05 19:37:50.199469-03,2025-10-14 11:30:17.781062-03,2025-10-14 11:30:17.837325-03,2025-12-05 00:00:00-03,354044,2024-12-05 19:37:49.827548-03,2024-12-05 19:38:39.920828-03,ns1.donweb.com
675076,vinilplata,com.ar,vinilplata.com.ar,2004-03-24 00:00:00-03,2025-11-16 00:03:52.552289-03,2025-11-16 00:03:52.613865-03,2026-04-10 00:00:00-03,75549,2014-04-09 00:00:00-03,2025-09-04 07:51:42.600144-03,ns1.huaweicloud-dns.net
740793,hosteriaamerica,com.ar,hosteriaamerica.com.ar,2017-05-12 19:51:45.288848-03,2025-11-17 11:29:55.869372-03,2025-11-17 11:29:55.913785-03,2026-05-12 00:00:00-03,102395,2017-05-12 19:51:45.105745-03,2025-04-27 17:31:25.478402-03,ns1.dns-parking.com
957120,eefimero,ar,eefimero.ar,2019-10-11 10:53:19.920378-03,2025-11-01 09:38:57.907713-03,2025-11-01 09:38:57.981817-03,2026-10-11 00:00:00-03,222679,2020-05-19 21:14:15.783912-03,2025-09-23 12:30:38.68201-03,ns1.dns-parking.com
707894,linceindumentaria,com.ar,linceindumentaria.com.ar,2000-05-12 00:00:00-03,2025-11-17 11:29:59.634867-03,2025-11-17 11:29:59.671408-03,2026-05-12 00:00:00-03,6236,2013-10-24 00:00:00-03,2025-11-07 09:37:55.31653-03,ns3.zoneedit.com
534150,avigra,com.ar,avigra.com.ar,2013-10-10 00:00:00-03,2025-11-23 06:47:55.19253-03,2025-11-23 06:47:55.232534-03,2026-11-09 00:00:00-03,4164,2013-09-27 00:00:00-03,2025-11-07 15:22:41.187877-03,dns1.iplanisp.com.ar
536693,craverosellos,com.ar,craverosellos.com.ar,2001-10-16 00:00:00-03,2025-11-23 13:01:13.899837-03,2025-11-05 05:49:09.432925-03,2025-11-15 00:00:00-03,5648,2014-10-17 00:00:00-03,2024-12-16 18:44:43.037479-03,ns21.dattatec.com
929579,lamercedes,com.ar,lamercedes.com.ar,2017-09-20 10:31:00.911516-03,2025-10-23 00:05:08.135359-03,2025-10-23 00:05:08.177311-03,2026-09-20 00:00:00-03,247639,2021-08-24 04:36:25.974402-03,2025-09-03 04:49:26.598276-03,ns1.donweb.com
587835,consultorioscapello,com.ar,consultorioscapello.com.ar,2024-02-01 18:17:55.642664-03,2025-11-08 15:34:53.590362-03,2025-11-08 15:34:53.648795-03,2026-02-01 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,ns8968.banahosting.com
351283,infiltrado,com.ar,infiltrado.com.ar,2025-01-14 13:31:56.253932-03,2025-10-14 15:14:28.167822-03,2025-10-14 15:14:28.223494-03,2026-01-14 00:00:00-03,190,2013-08-20 00:00:00-03,2025-11-24 20:21:19.064942-03,miguel.ns.cloudflare.com
643444,mitreargentina,com.ar,mitreargentina.com.ar,2014-12-27 00:00:00-03,2025-11-18 17:58:13.374066-03,2025-11-18 17:58:13.403275-03,2026-02-27 00:00:00-03,59258,2019-02-22 16:21:14.704744-03,2025-04-09 11:48:24.634647-03,abeja.avnam.net
561124,iluminacionindustrial,com.ar,iluminacionindustrial.com.ar,2024-01-19 17:44:19.504729-03,2025-11-07 17:43:06.780337-03,2025-11-07 17:43:06.83189-03,2026-01-19 00:00:00-03,18915,2014-05-16 00:00:00-03,2025-01-13 20:00:16.868907-03,ns1.donweb.com
